name,price,first_name,last_name,above_100
William Dixon,109.04,William,Dixon,True
Kristen Horn,262.52,Kristen,Horn,True
Kimberly Chang,187.01,Kimberly,Chang,True
Mary Ball,283.17,Mary,Ball,True
Benjamin Craig,143.87,Benjamin,Craig,True
Cathy Werner,61.51,Cathy,Werner,False
Brandon Bell,48.64,Brandon,Bell,False
Paul Farley,12.39,Paul,Farley,False
Sarah Mcdaniel,151.6,Sarah,Mcdaniel,True
Caroline Anderson,75.62,Caroline,Anderson,False
Carl Jones,147.03,Carl,Jones,True
Scott Lee,244.19,Scott,Lee,True
Kaylee Coleman,17.86,Kaylee,Coleman,False
Charles Parker,215.54,Charles,Parker,True
Susan Hess,38.36,Susan,Hess,False
Kiara Collier,204.18,Kiara,Collier,True
Mr. Scott Martinez,165.85,Mr.,Scott,True
Christopher Ortega,30.3,Christopher,Ortega,False
Michael Russell,243.17,Michael,Russell,True
Dwayne Johnson,287.49,Dwayne,Johnson,True
Patty Smith,180.23,Patty,Smith,True
Deanna Sherman,99.8,Deanna,Sherman,False
Douglas Francis,161.77,Douglas,Francis,True
Vicki Diaz,18.65,Vicki,Diaz,False
Robin Phillips,244.91,Robin,Phillips,True
Travis Rice,141.5,Travis,Rice,True
Ashley Rocha,50.0,Ashley,Rocha,False
Sarah Jacobson,80.48,Sarah,Jacobson,False
Kayla Shannon,98.92,Kayla,Shannon,False
Sean Wang DDS,220.63,Sean,Wang,True
Richard Estrada,49.17,Richard,Estrada,False
Joseph Torres,150.12,Joseph,Torres,True
Kim Jones,18.84,Kim,Jones,False
Melissa Tanner,269.18,Melissa,Tanner,True
Jackson Cline,64.31,Jackson,Cline,False
Sonya Foster,296.22,Sonya,Foster,True
Allen Williams,15.39,Allen,Williams,False
Mr. Thomas Rivera,95.23,Mr.,Thomas,False
Jamie Silva,296.82,Jamie,Silva,True
Kathleen Moore,92.5,Kathleen,Moore,False
Evelyn Pineda,169.23,Evelyn,Pineda,True
Kyle Peters,106.8,Kyle,Peters,True
Anthony Cruz,49.1,Anthony,Cruz,False
Eric Flores,122.96,Eric,Flores,True
Anna Richardson,254.5,Anna,Richardson,True
